mass,mass1,sigmaHat(Ybj)(pb)_G/MQ=1%,sigmaHat(Ybj)(pb)_G/MQ=1%_Down,sigmaHat(Ybj)(pb)_G/MQ=1%_Up,sigmaHat(Ybj)(pb)_G/MQ=2%,sigmaHat(Ybj)(pb)_G/MQ=2%_Down,sigmaHat(Ybj)(pb)_G/MQ=2%_Up,sigmaHat(Ybj)(pb)_G/MQ=3%,sigmaHat(Ybj)(pb)_G/MQ=3%_Down,sigmaHat(Ybj)(pb)_G/MQ=3%_Up
700,700,0.6666074622925436,0.533285969834035,0.8525909442721633,1.3332149245850873,1.06657193966807,1.7051818885443266,1.9998223868776313,1.599857909502105,2.5577728328164904
800,800,0.35017745944355033,0.2776907253387354,0.45207910014162345,0.7003549188871007,0.5553814506774708,0.9041582002832469,1.050532378330651,0.8330721760162063,1.3562373004248705
900,900,0.1940157464468276,0.15269039245365332,0.2528025176202163,0.3880314928936553,0.30538078490730675,0.5056050352404329,0.5820472393404826,0.45807117736095987,0.7584075528606489
1000,1000,0.11258313193215405,0.08804000917094447,0.14782165222691826,0.22516626386430802,0.17608001834188888,0.2956433044538364,0.3377493957964622,0.2641200275128334,0.4434649566807548
1100,1100,0.06775050478164042,0.05264214221533461,0.08963391782611027,0.13550100956328084,0.10528428443066921,0.17926783565222054,0.20325151434492125,0.15792642664600381,0.2689017534783308
1200,1200,0.04200665082566182,0.032471141088236594,0.05595285889978155,0.0840133016513237,0.06494228217647323,0.11190571779956318,0.12601995247698555,0.09741342326470984,0.16785857669934476
1300,1300,0.02664369645000647,0.020489002570054978,0.035702553243008674,0.053287392900012984,0.040978005140109984,0.0714051064860174,0.07993108935001941,0.06146700771016493,0.10710765972902601
1400,1400,0.017302469428623613,0.013236389112897064,0.02332372878978463,0.03460493885724723,0.026472778225794132,0.046647457579569264,0.05190740828587087,0.03970916733869122,0.06997118636935393
1500,1500,0.011439989545303326,0.008705832043975832,0.015512625823431311,0.02287997909060666,0.017411664087951667,0.031025251646862633,0.03431996863590999,0.026117496131927504,0.04653787747029395
1600,1600,0.0077125776204473116,0.005846133836299062,0.010512243296669686,0.015425155240894635,0.011692267672598134,0.021024486593339387,0.023137732861341975,0.017538401508897218,0.031536729890009114
1700,1700,0.005253496527603805,0.003961136381813269,0.007197290242817214,0.010506993055207617,0.007922272763626543,0.014394580485634436,0.015760489582811413,0.011883409145439805,0.02159187072845164
1800,1800,0.003629434104958079,0.0027257050128235176,0.0049977307625272745,0.007258868209916149,0.005451410025647027,0.009995461525054537,0.010888302314874233,0.00817711503847055,0.01499319228758182
1900,1900,0.002530611476650489,0.0018928973845345658,0.0035023662836842764,0.00506122295330098,0.003785794769069133,0.007004732567368555,0.007591834429951473,0.005678692153603702,0.010507098851052839
2000,2000,0.0017823497377096491,0.0013278505545936887,0.002475683785678703,0.0035646994754192926,0.002655701109187373,0.004951367571357398,0.005347049213128944,0.003983551663781063,0.0074270513570361026
